Title,Number of ratings,Gutenberg ID,Factor,Rank
Casa Braccio,4,26327,Y,378
Half a Hero,4,22191,Y,379
Kilgorman: A Story of Ireland in 1798,4,20994,Y,380
Lochinvar,4,45495,Y,381
Mr. Witt's Widow: A Frivolous Tale,4,41599,Y,382
My Danish Sweetheart: A Novel,4,41313/41314/41315,Y,383
Quisante,4,19752,Y,384
Linnet: A Romance,4,48296,Y,385
Settling Day,4,35496,Y,386
Sister Teresa,4,14614,Y,387
The Birthright: Being the Adventurous History of Jaspar Pennington of Pennington in the County of Cornwall,4,27591,Y,388
The Children of the King: A Tale of Southern Italy,4,15187,Y,389
"The Coxswain's Bride: or, The Rising Tide",4,21725,Y,390
The Hoyden: A Novel,4,16137,Y,391
The Human Boy,4,41779,Y,392
The Long Vacation,4,5251,Y,393
The Master of the Shell,4,21050,Y,394
The Mystery of the Clasped Hands,4,42807,Y,395
The Pride of Jennico: Being a Memoir of Captain Basil Jennico,4,51238,Y,396
The Prophet of Berkeley Square: A Tragic Extravaganza,4,2463,Y,397
The Recipe for Diamonds,4,31083,Y,398
The Red Axe,4,12191,Y,399
The Ruby Sword: A Romance of Baluchistan,4,36606,Y,400
The Story of Bessie Costrell,4,12181,Y,401
The Temptress,4,40833,Y,402
The Valiant Runaways,4,3706,Y,403
Two Boys in Wyoming: A Tale of Adventure,4,20223,Y,404
A Cathedral Courtship and Penelope's English Experiences,3,1551,Y,405
A Little Rebel,3,16186,Y,406
A Rose of Yesterday,3,41009,Y,407
A Tale of Two Tunnels: A Romance of the Western Waters,3,44590,Y,408
A Vanished Hand,3,28237,Y,409
Aaron the Jew,3,42972,Y,410
"All's Well: or, Alice's Victory",3,21233,Y,411
Blood Royal: A Novel,3,47426,Y,412
"Blue Jackets: or, The Log of the Teaser",3,21299,Y,413
Cormorant Crag: A Tale of the Smuggling Days,3,21295,Y,414
Fifteen Hundred Miles an Hour,3,49713,Y,415
Friendship and Folly: A Novel,3,45687,Y,416
Green Fire: A Romance,3,44091,Y,417
Guilty Bonds,3,41456,Y,418
In Strange Company: A Story of Chili and the Southern Seas,3,37081,Y,419
A Modern Wizard,3,32985,Y,420
Mrs. Cliff's Yacht,3,30848,Y,421
My Lord Duke,3,37337,Y,422
Real Gold: A Story of Adventure,3,34139,Y,423
Senator North,3,6091,Y,424
Sheilah McLeod: A Heroine of the Back Blocks,3,41269,Y,425
