Book,Title,Goodreads,Sentiment,Status,MATTR
656,The Reign of Law a tale of the Kentucky hemp fields,11,0.150159,Neither,0.5240577381230439
657,The Romance of Golden Star,9,0.438725,Neither,0.4743102009627875
658,The Romance of the Woods,0,0.183752,Neither,0.5266521787197751
659,The Romance of Zion Chapel,2,0.339705,Neither,0.4993538689761993
660,The Rome Express,0,0.015947,Neither,0.520403974270618
661,The Rubicon,0,0.241058,Neither,0.4928687046225816
662,The Ruby Sword A Romance of Baluchistan,4,-0.038098,Neither,0.5432247139179477
663,The Sack of Monte Carlo An Adventure of To day,0,0.179205,Neither,0.4749898383240351
664,The Sacred Fount,223,0.354344,Neither,0.4824803190253723
665,The Scapegoat,9,-0.147166,Neither,0.4894263084918553
666,A Cabinet Secret,10,0.235622,Neither,0.5000920312069161
667,A Trip to Venus A Novel,31,0.472764,Neither,0.5322132770330831
668,The Secret Chamber at Chad,0,0.244802,Neither,0.508983643706939
669,The Ship of Stars,0,0.120627,Neither,0.524179047127475
670,The Sign of the Red Cross A Tale of Old London,0,-0.050715,Neither,0.5156781924311481
671,The Sign of the Spider,45,-0.036835,Neither,0.5419694632386107
672,The Skipper s Wooing and The Brown Man's Servant,0,0.079509,Neither,0.4945694516601332
673,The Sky Pilot A Tale of the Foothills,31,0.188322,Neither,0.4966074199968692
674,The Slave of the Lamp,0,0.210018,Neither,0.5307716558872081
