Book,Title,Goodreads,Sentiment,Status
239,Marion Darche A Story Without Comment,0,0.215056,Neither
240,A Modern Wizard,3,0.131122,Neither
241,Martin Hewitt Investigator,0,0.070233,Neither
242,Mass George A Boy's Adventures in the Old Savannah,1,-0.026037,Neither
243,Master of Men,0,0.117336,Neither
244,Master Skylark A Story of Shakspere's Time,46,0.117634,Neither
245,A Girl of the North A Story of London and Canada,0,0.139233,Neither
246,Materfamilias,2,0.183552,Neither
247,Menotah A Tale of the Riel Rebellion,0,-0.065888,Neither
248,Michael's Crag,8,0.085722,Neither
249,Miranda of the Balcony A Story,8,-0.009287,Neither
250,Miss Cayley's Adventures  ,207,0.129665,Neither
251,Miss Merivale's Mistake,0,0.197536,Neither
252,Miss Mous and Her Boys,0,0.256189,Neither
253,Miss Stuart's Legacy,2,0.043186,Neither
254,Mollie's Prince A Novel,10,0.356703,Bestsellers
255,Monsieur Beaucaire,104,0.114363,Neither
256,A Gray Eye or So,0,0.322317,Neither
257,Montezuma's Daughter,1654,-0.089048,Neither
258,Moonfleet,4580,-0.135686,Neither
259,More About Peggy,0,0.359279,Neither
260,Mr.Marx's Secret,37,0.046719,Neither
261,Mr.Witt's Widow A Frivolous Tale,4,0.188869,Neither
262,Mrs.Cliff's Yacht,3,0.571784,Neither
263,My Brilliant Career,5488,0.221965,Neither
264,My Danish Sweetheart A Novel,4,0.030056,Neither
265,My Lady Rotha,12,-0.097215,Neither
266,My Lord Duke,3,0.171926,Neither
267,A Hero of Romance,2,0.096108,Neither
268,Mysterious Mr. Sabin,30,0.165358,Neither
269,Nada the Lily,306,-0.205395,Neither
270,Nevermore,0,0.078034,Neither
271,New Grub Street,5509,0.142329,Canonical novels
272,News from Nowhere Or An Epoch of Rest Being Some Chapters from a Utopian Romance,1636,0.699198,Canonical novels
273,No Surrender A Tale of the Rising in La Vendee,0,0.037122,Neither
274,Noémi,1,-0.101158,Neither
275,Nurse Elisia,1,0.129738,Neither
276,Nurse Heatherdale's Story,0,0.325361,Neither
277,Odd,20,0.209659,Neither
278,A Honeymoon in Space,73,0.380544,Neither
279,Olaf the Glorious A Story of the Viking Age,157,0.198531,Neither
280,On the Face of the Waters A Tale of the Mutiny,31,0.004282,Neither
281,On The Irrawaddy: A Story of the First Burmese War,0,0.13317,Neither
282,One Man's View,2,0.180736,Neither
283,One of Our Conquerors,6,0.227791,Neither
284,Orientations,43,0.028192,Neither
285,Our Bessie,21,0.355051,Neither
286,Our Friend the Charlatan,19,0.343329,Neither
287,Out with Garibaldi A story of the liberation of Italy,0,0.112658,Neither
288,Pabo the Priest A Novel,1,-0.040108,Neither
289,A Humble Enterprise,6,0.447988,Neither
290,Parson Kelly,5,0.077999,Neither
291,Paul the Courageous,1,-0.029064,Neither
292,Peccavi ,0,0.056944,Neither
293,Pembroke A Novel,0,0.022191,Neither
294,Penelope's Experiences in Scotland Being Extracts from the Commonplace Book of Penelope Hamilton  ,30,0.448289,Bestsellers
295,Penelope's Irish Experiences  ,23,0.511771,Bestsellers
